iter	Passed	Remaining
612	29381	41507
613	29430	41461
614	29474	41408
615	29519	41355
616	29566	41307
617	29614	41258
618	29664	41213
619	29709	41162
620	29756	41112
621	29801	41061
622	29842	41003
623	29886	40950
624	29932	40899
625	29977	40848
626	30022	40796
627	30064	40740
628	30108	40687
629	30150	40631
630	30194	40577
631	30240	40528
632	30284	40474
633	30333	40428
634	30383	40383
635	30432	40337
636	30480	40289
637	30523	40236
638	30566	40181
639	30611	40130
640	30659	40081
641	30709	40037
642	30762	39995
643	30808	39945
644	30852	39893
645	30899	39844
646	30948	39797
647	30996	39749
648	31040	39697
649	31088	39649
650	31132	39597
651	31181	39551
652	31228	39502
653	31278	39456
654	31324	39407
655	31371	39357
656	31417	39307
657	31465	39260
658	31511	39210
659	31557	39159
660	31603	39109
661	31650	39060
662	31692	39006
663	31734	38951
664	31780	38901
665	31829	38855
666	31874	38804
667	31919	38752
668	31964	38700
669	32005	38645
670	32048	38592
671	32093	38541
672	32138	38489
673	32180	38435
674	32225	38384
675	32272	38335
676	32320	38288
677	32364	38236
678	32405	38180
679	32446	38125
680	32489	38071
681	32532	38018
682	32574	37963
683	32615	37907
684	32656	37853
685	32704	37805
686	32753	37759
687	32798	37708
688	32844	37659
689	32891	37610
690	32937	37561
691	32990	37519
692	33035	37468
693	33078	37416
694	33126	37369
695	33175	37322
696	33220	37271
697	33265	37220
698	33310	37170
699	33356	37120
700	33403	37072
701	33445	37018
702	33494	36972
703	33547	36930
704	33600	36889
705	33647	36841
706	33700	36799
707	33760	36764
708	33813	36722
709	33859	36673
710	33907	36625
711	33955	36578
712	34000	36527
713	34048	36480
714	34094	36431
715	34140	36381
716	34191	36337
717	34236	36287
718	34284	36239
719	34336	36196
720	34384	36149
721	34427	36096
722	34470	36044
723	34517	35995
724	34564	35947
725	34609	35897
726	34653	35845
727	34698	35795
728	34743	35743
729	34791	35696
730	34833	35643
731	34878	35593
732	34924	35543
733	34969	35493
734	35015	35444
735	35059	35393
736	35109	35348
737	35153	35295
738	35198	35246
739	35244	35196
740	35290	35148
741	35335	35097
742	35380	35047
743	35428	34999
744	35472	34948
745	35515	34896
746	35560	34846
747	35608	34798
748	35651	34747
749	35696	34696
750	35745	34650
751	35790	34600
752	35834	34549
753	35884	34504
754	35930	34455
755	35971	34401
756	36016	34351
757	36068	34308
758	36124	34268
759	36180	34228
760	36227	34180
761	36275	34132
762	36325	34088
763	36372	34039
764	36422	33994
765	36470	33947
766	36517	33899
767	36564	33850
768	36610	33801
769	36663	33759
770	36708	33708
771	36751	33657
772	36799	33610
773	36852	33567
774	36901	33520
775	36948	33472
776	36995	33424
777	37043	33377
778	37086	33325
779	37133	33277
780	37177	33226
781	37223	33177
782	37272	33130
783	37319	33083
784	37368	33036
785	37419	32991
786	37471	32948
787	37517	32899
788	37567	32853
789	37614	32805
790	37659	32755
791	37702	32703
792	37747	32653
793	37793	32604
794	37841	32557
795	37892	32513
796	37939	32465
797	37994	32424
798	38042	32376
799	38085	32325
800	38131	32276
801	38175	32225
802	38228	32182
803	38275	32134
804	38322	32086
805	38371	32039
806	38417	31990
807	38473	31950
808	38529	31909
809	38578	31862
810	38629	31818
811	38684	31776
812	38733	31730
813	38783	31683
814	38835	31640
815	38885	31594
816	38936	31549
817	38989	31505
818	39039	31460
819	39084	31410
820	39131	31362
821	39176	31312
822	39224	31265
823	39273	31218
824	39325	31174
825	39375	31128
826	39428	31085
827	39483	31042
828	39533	30997
829	39584	30952
830	39638	30909
831	39695	30868
832	39750	30827
833	39798	30779
834	39845	30730
835	39892	30682
836	39942	30636
837	39993	30591
838	40045	30547
839	40090	30497
840	40137	30449
841	40181	30398
842	40233	30354
843	40283	30308
844	40332	30261
845	40377	30211
846	40425	30164
847	40477	30119
848	40528	30073
849	40576	30026
850	40625	29979
851	40676	29934
852	40723	29885
853	40770	29837
854	40822	29793
855	40872	29747
856	40916	29696
857	40964	29649
858	41012	29601
859	41059	29553
860	41105	29504
861	41151	29455
862	41195	29405
863	41246	29359
864	41290	29309
865	41336	29260
866	41382	29211
867	41433	29165
868	41475	29114
869	41520	29064
870	41567	29016
871	41617	28969
872	41660	28919
873	41710	28872
874	41762	28828
875	41808	28779
876	41855	28730
877	41904	28683
878	41956	28639
879	42005	28592
880	42053	28544
881	42098	28495
882	42146	28447
883	42194	28400
884	42236	28348
885	42281	28298
886	42329	28251
887	42374	28201
888	42424	28155
889	42469	28106
890	42515	28057
891	42561	28008
892	42610	27961
893	42654	27911
894	42701	27863
895	42749	27815
896	42796	27767
897	42840	27717
898	42887	27669
899	42933	27620
900	42981	27572
901	43025	27523
902	43068	27472
903	43115	27423
904	43159	27374
905	43209	27327
906	43255	27279
907	43307	27234
908	43357	27188
909	43404	27139
910	43448	27089
911	43494	27040
912	43543	26993
913	43585	26943
914	43633	26895
915	43687	26851
916	43731	26801
917	43779	26754
918	43830	26708
919	43873	26657
920	43922	26611
921	43971	26564
922	44021	26517
923	44069	26470
924	44118	26423
925	44165	26375
926	44218	26330
927	44262	26281
928	44311	26233
929	44359	26186
930	44404	26137
931	44452	26089
932	44496	26039
933	44541	25990
934	44584	25940
935	44631	25891
936	44677	25843
937	44728	25797
938	44779	25751
939	44825	25703
940	44867	25652
941	44917	25605
942	44962	25556
943	45008	25507
944	45053	25458
945	45103	25412
946	45149	25363
947	45197	25316
948	45247	25270
949	45301	25226
950	45349	25178
951	45396	25130
952	45445	25083
953	45491	25034
954	45538	24986
955	45583	24937
956	45632	24890
957	45683	24844
958	45730	24796
959	45778	24749
960	45823	24699
961	45871	24652
962	45914	24602
963	45962	24554
964	46010	24507
965	46057	24458
966	46102	24410
967	46145	24359
968	46190	24310
969	46237	24262
970	46283	24214
971	46326	24164
972	46372	24115
973	46418	24066
974	46469	24020
975	46513	23971
976	46553	23919
977	46598	23871
978	46641	23821
979	46690	23774
980	46734	23724
981	46779	23675
982	46822	23625
983	46868	23577
984	46911	23527
985	46955	23477
986	46998	23428
987	47045	23379
988	47095	23333
989	47137	23283
990	47186	23236
991	47227	23185
992	47276	23138
993	47318	23088
994	47361	23038
995	47402	22987
996	47449	22939
997	47498	22892
998	47549	22846
999	47598	22799
1000	47644	22751
1001	47693	22704
1002	47740	22656
1003	47789	22609
1004	47836	22561
1005	47887	22515
1006	47936	22468
1007	47982	22420
1008	48030	22372
1009	48083	22327
1010	48130	22280
1011	48178	22232
1012	48226	22185
1013	48275	22138
1014	48322	22090
1015	48372	22043
1016	48419	21996
1017	48470	21949
1018	48519	21902
1019	48565	21854
1020	48611	21806
1021	48657	21757
1022	48707	21711
1023	48755	21663
1024	48813	21620
1025	48861	21573
1026	48909	21525
1027	48970	21484
1028	49022	21438
1029	49072	21391
1030	49127	21347
1031	49177	21300
1032	49227	21254
1033	49276	21207
1034	49326	21160
1035	49376	21113
1036	49421	21064
1037	49469	21017
1038	49520	20971
1039	49564	20921
1040	49613	20874
1041	49662	20827
1042	49718	20783
1043	49767	20736
1044	49816	20689
1045	49871	20644
1046	49923	20598
1047	49974	20552
1048	50023	20505
1049	50077	20460
1050	50131	20415
1051	50182	20368
1052	50231	20321
1053	50279	20274
1054	50334	20229
1055	50382	20181
1056	50432	20134
1057	50477	20086
1058	50526	20038
1059	50572	19990
1060	50626	19945
1061	50669	19895
1062	50720	19849
1063	50767	19801
1064	50816	19753
1065	50867	19707
1066	50910	19658
1067	50956	19609
1068	51005	19562
1069	51047	19512
1070	51094	19464
1071	51140	19416
1072	51189	19369
1073	51238	19321
1074	51285	19273
1075	51330	19225
1076	51380	19178
1077	51426	19129
1078	51470	19080
1079	51514	19031
1080	51560	18983
1081	51606	18935
1082	51655	18887
1083	51700	18839
1084	51744	18790
1085	51789	18741
1086	51832	18691
1087	51881	18645
1088	51926	18596
1089	51970	18547
1090	52013	18497
1091	52059	18449
1092	52112	18403
1093	52162	18356
1094	52204	18307
1095	52255	18260
1096	52305	18213
1097	52349	18165
1098	52392	18115
1099	52435	18066
1100	52485	18019
1101	52532	17971
1102	52580	17924
1103	52625	17875
1104	52670	17826
1105	52716	17778
1106	52760	17729
1107	52806	17681
1108	52851	17633
1109	52895	17584
1110	52943	17536
1111	52987	17487
1112	53034	17439
1113	53078	17391
1114	53125	17343
1115	53173	17295
1116	53226	17249
1117	53272	17201
1118	53318	17153
1119	53364	17105
1120	53415	17058
1121	53461	17010
1122	53508	16962
1123	53552	16913
1124	53596	16865
1125	53645	16817
1126	53690	16769
1127	53735	16720
1128	53778	16671
1129	53824	16623
1130	53864	16573
1131	53905	16524
1132	53951	16476
1133	53997	16427
1134	54040	16378
1135	54088	16331
1136	54133	16282
1137	54182	16235
1138	54233	16189
1139	54279	16140
1140	54327	16093
1141	54374	16045
