iter	Accuracy	MultiClass
126	0.8708206076	0.43472160012127	0.8711220061	0.43409843128128	0.8710416332	0.43373989129129	0.8711019129	0.4325692130	130	0.8711822858	0.4320899131	131	0.8712425655	0.4316382132	132	0.8714033114	0.430748133	0133	0.8715037775	0.43017134	0.134	0.8717248031	0.42913135	0.135	0.8717649896	0.4286136	0.8136	0.8721065745	0.4278137	0.8137	0.8720864813	0.4274138	0.138	0.8721065745	0.4269139	0.8139	0.8722271339	0.4260140	0.8140	0.872407973	0.42567141	0.141	0.8728500241	0.42498142	0.142	0.8730308632	0.42433143	0.143	0.8731916091	0.42382144	0.144	0.8731514226	0.42330145	0.145	0.8732920752	0.42226146	0.146	0.8734126346	0.4219147	0.8147	0.8735733805	0.4211148	0.8148	0.873794406	0.42067149	0.149	0.8738345925	0.42017150	0.150	0.873794406	0.4198151	0.8151	0.8739149654	0.419152	0.87152	0.8740958045	0.41153	0.870153	0.8740958045	0.41154	0.8154	0.8742163639	0.4172155	0.8155	0.8742565504	0.4168156	0.8156	0.8743369233	0.4162157	0.8157	0.8744574827	0.4157158	0.158	0.8745579489	0.41519159	0.159	0.8746383218	0.41450160	0.160	0.874738788	0.414074161	0161	0.874658415	0.4136797162	162	0.8746383218	0.4131274163	163	0.8748995338	0.412806164	0164	0.8748593474	0.412626165	0165	0.875	0.4117569585
166	0.8750602797	0.4113422609
167	0.8750803729	0.4110139406
168	0.8752411188	0.4104613767
169	0.8754621443	0.4098707456
170	0.8756429834	0.4093401194
171	0.8756429834	0.4089603887
172	0.8757836361	0.4084881977
173	0.8758841022	0.4080789551
174	0.8759242887	0.4077607992
175	0.8759845684	0.4074858908
176	0.8759644752	0.4066300447
177	0.8760046616	0.4064067037
178	0.8761654075	0.4060224991
179	0.8761453143	0.4056839752
180	0.8763261534	0.4053249657
181	0.8764065263	0.4048641949
182	0.8765471789	0.4045299486
183	0.8766074586	0.4043090408
184	0.8766878315	0.4040285205
185	0.8769088571	0.4030381439
186	0.8769088571	0.4027046825
187	0.87698923	0.4022025087
188	0.8770896962	0.4018589615
189	0.8774915608	0.4012087178
190	0.8777326796	0.400506946
191	0.8778733323	0.3998612154
192	0.8778331458	0.3995855614
193	0.8778130526	0.3988683664
194	0.8778331458	0.3984007278
195	0.8779537052	0.3979727263
196	0.8780340781	0.3974515188
197	0.8781546375	0.3970084081
198	0.8780340781	0.3966775761
199	0.8781345443	0.3963410145
200	0.8783354766	0.3960456204
201	0.8783555698	0.3957866453
202	0.8783354766	0.3953994582
203	0.8783555698	0.395137579
204	0.8783957563	0.394839634
205	0.8785163157	0.3945182993
206	0.8784962225	0.394275336
207	0.8786569683	0.3938947027
208	0.8786971548	0.3935981705
209	0.8786569683	0.3934283591
210	0.8786971548	0.3932230314
